epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
99,11585.4,0.5057,0.27859,0.00697,0.98012,0.98637,0.99124,0.9668,0.26335,0.12451,0.00549,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
100,11701.2,0.49952,0.27291,0.00691,0.97957,0.98612,0.99126,0.96704,0.26349,0.12598,0.00553,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995
101,11819,0.51234,0.29349,0.00696,0.97886,0.98478,0.99099,0.96695,0.26384,0.12893,0.00555,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
102,11934.9,0.49873,0.28159,0.00684,0.97784,0.98753,0.99137,0.96809,0.25993,0.12485,0.00545,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005
103,12051.1,0.49674,0.26918,0.0068,0.97688,0.9875,0.99164,0.96841,0.25855,0.12356,0.00542,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
104,12168.1,0.49708,0.27187,0.00678,0.97902,0.98707,0.99111,0.96845,0.25736,0.12244,0.00539,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015
105,12284.5,0.49406,0.26639,0.00677,0.98116,0.98595,0.9911,0.96871,0.25658,0.12109,0.00537,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
106,12400.8,0.49633,0.2741,0.00674,0.97834,0.98685,0.99083,0.96922,0.25458,0.12271,0.00531,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025
107,12518.1,0.49319,0.27273,0.00684,0.98086,0.98578,0.99084,0.96876,0.25375,0.12305,0.0053,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
108,12634.5,0.48963,0.2746,0.00667,0.97895,0.98504,0.99119,0.96968,0.25273,0.12524,0.00528,0.0141105,0.0047035,0.0141105,0.0047035,0.0141105,0.0047035,0.0141105,0.0047035
