epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
83,5396.95,0.54006,0.41853,0.01094,0.8878,0.91111,0.93462,0.85197,0.46585,0.34044,0.01523,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
84,5462.46,0.5255,0.41212,0.01059,0.88415,0.9199,0.93851,0.85144,0.47576,0.33958,0.01561,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261
85,5527.23,0.53388,0.41432,0.01084,0.92018,0.90457,0.94185,0.85497,0.47671,0.31747,0.0155,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
86,5593.66,0.52525,0.40149,0.01084,0.87512,0.92128,0.93436,0.84947,0.4742,0.33554,0.01564,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
87,5658.58,0.52332,0.41396,0.01066,0.86626,0.9304,0.94016,0.85423,0.47307,0.32605,0.01556,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
88,5725.42,0.53192,0.4218,0.01062,0.87219,0.93146,0.94253,0.856,0.46963,0.31649,0.0153,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
89,5789.66,0.51627,0.39835,0.01044,0.90692,0.91891,0.94253,0.85815,0.46401,0.31254,0.01526,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
90,5853.52,0.51855,0.40687,0.0104,0.90147,0.9191,0.94167,0.85701,0.46575,0.32534,0.01531,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063
91,5920.17,0.52069,0.40269,0.01052,0.90153,0.91712,0.94284,0.86098,0.45687,0.32286,0.01495,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
92,5984.51,0.51409,0.40051,0.01038,0.88525,0.92764,0.936,0.85569,0.45806,0.33283,0.01503,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997
93,6047.42,0.51915,0.39933,0.01051,0.88115,0.9335,0.94502,0.86241,0.45719,0.31331,0.01494,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
94,6113.41,0.52097,0.40413,0.01045,0.91022,0.9238,0.94778,0.86731,0.44964,0.30768,0.01469,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
95,6185.94,0.5132,0.38875,0.01039,0.89321,0.92539,0.94534,0.86513,0.448,0.31838,0.01465,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
96,6251.35,0.50919,0.38674,0.01032,0.91097,0.91114,0.94729,0.86592,0.44249,0.3118,0.01447,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865
97,6315.68,0.51058,0.38751,0.01033,0.89573,0.92708,0.94779,0.86691,0.45069,0.31115,0.0147,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
98,6381.59,0.50144,0.37488,0.01012,0.91102,0.92195,0.94845,0.86975,0.44219,0.30071,0.01445,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799
99,6445.61,0.52007,0.40523,0.01051,0.91321,0.91916,0.94747,0.86651,0.44779,0.3057,0.01472,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
100,6509.8,0.50272,0.38177,0.01007,0.91531,0.91896,0.94612,0.86733,0.43946,0.30203,0.01435,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
101,6573.6,0.50228,0.37666,0.01003,0.91948,0.90753,0.94857,0.8721,0.43286,0.30192,0.01407,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
102,6644.9,0.50232,0.38591,0.01013,0.92194,0.91093,0.94936,0.87485,0.42615,0.297,0.01386,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667
